Lemma;s.Genitiv;es.Genitiv
Zimmer;103;0
Betreiber;101;0
Festival;101;0
Rätsel;100;0
Teil;100;16
Winter;100;0
Fenster;99;0
Hauptbahnhof;99;10
Kapitel;99;0
Tunnel;99;0
Boden;98;0
Kaiser;98;0
Süden;98;0
Gedanken;97;0
Handel;97;0
Militär;97;0
Projektmanagement;97;0
Zugang;97;1
Denkmal;96;3
Erzähler;96;0
Wandel;96;0
Ziel;96;28
Dichter;95;0
Ego;95;0
Gedenken;95;0
Park;95;14
Zentralrat;95;15
Besuch;94;74
Bundesvorstand;94;86
Evangelium;94;0
Großvater;94;0
Regisseur;94;0
Dasein;93;0
Gesetzgeber;93;0
Holocaust;93;0
Profil;93;0
Reichtum;93;0
Tun;93;0
Bildungssystem;92;0
Feuer;92;0
Landgericht;92;12
Papier;92;4
Gefecht;90;14
Übergang;90;8
Empfänger;89;0
Risiko;89;0
Gemeinwesen;88;0
Management;88;0
Personal;88;0
Posting;88;0
Laden;87;0
Mitarbeiter;87;0
Provider;87;0
Verbrechen;87;0
Vermögen;87;0
Büro;86;0
Erfolg;86;69
Stück;86;100
Theater;86;0
Kollektiv;85;2
Konzert;85;28
Paket;85;45
Bezirk;84;47
Gewinn;84;12
Norden;84;0
Stadtteil;84;4
Essen;83;0
Minister;83;0
Meister;82;0
Schüler;82;0
Spiegel;82;0
Fachbereich;80;21
Fehler;80;0
Bestehen;79;0
Dokument;79;68
Schrecken;79;0
Sport;79;5
Verband;79;166
Innenministerium;78;0
Viertel;78;0
Dialog;77;23
Display;77;0
EU-Parlament;77;6
Fortschritt;77;7
Parteitag;77;31
Strom;77;16
Innenminister;76;0
Bundesgerichtshof;75;16
Gazastreifen;75;0
Phänomen;75;0
Präsidium;75;0
Verfasser;75;0
Angriff;74;11
Aufruf;74;13
Warten;74;0
Label;73;0
Mac;73;0
Mainstream;73;0
Professor;73;0
Restaurant;73;0
Täter;73;0
Vatikan;73;0
Bereich;72;30
Fernsehen;72;0
Judentum;72;0
Prinzip;72;1
Trailer;72;0
Eintrag;71;36
Auftritt;70;5
Haushalt;70;46
Konzil;70;0
Praktikum;70;0
Teilen;70;0
Wesen;70;0
Anwalt;69;20
Grundrecht;69;17
Medikament;69;28
Typ;69;0
Wahnsinn;69;0
Bürgermeister;68;0
Gesundheitswesen;68;0
Klima;68;0
Plan;68;21
Buchdruck;67;3
Experiment;67;11
Reaktor;67;0
Track;67;0
Internetauftritt;66;5
Laptop;66;0
Sozialstaat;66;70
Verbot;66;26
Wahlkampf;66;91
Gefühl;65;1
Geschmack;65;9
Geschäft;65;29
Akku;64;0
Aufenthalt;64;86
Content;64;0
Fußball;64;1
Gymnasium;64;0
Subjekt;64;8
Unfall;64;7
Leiden;63;0
Modul;63;3
Eindruck;62;13
Hörspiel;62;0
Raum;62;183
Rechtsstaat;62;91
Richter;62;0
Wetter;62;0
Besitzer;61;0
Betrieb;61;36
Bundesverband;61;97
Jahrzehnt;61;0
Mangel;61;0
Missbrauch;61;4
Anwender;60;0
Kanal;60;0
Kraftwerk;60;16
Nationalpark;60;1
Osten;60;0
Zitat;60;32
Übereinkommen;60;0
Befehl;59;2
Fall;59;146
Geschichtsunterricht;59;1
Job;59;0
Koran;59;0
Vorgehen;59;0
Augenblick;58;2
Design;58;0
Fach;58;53
Fahrzeug;58;25
Kino;58;0
Verkehr;58;0
Bau;57;1
Camp;57;0
Frühling;57;0
Führer;57;0
Protokoll;57;1
Spielen;57;0
Sprecher;57;0
Säugling;57;0
Zuschauer;57;0
Überleben;57;0
Absender;56;0
Aufbau;56;1
Bischof;56;0
Bundesrat;56;123
Erzählen;56;0
Landtag;56;28
Ordner;56;0
Risikomanagement;56;0
Verbraucher;56;0
Button;55;0
Jahrgang;55;4
Kanton;55;0
Kuchen;55;0
Lager;55;0
Mammographie-Screening;55;0
Rahmen;55;0
Studiengang;55;24
Marketing;54;0
Moderator;54;0
Proletariat;54;0
Training;54;0
Vorfall;54;6
Wissenschaftler;54;0
Barcamp;53;0
Bürgerbegehren;53;0
Erwachen;53;0
Oberlandesgericht;53;1
Objekt;53;33
Skandal;53;0
Sänger;53;0
USB-Stick;53;0
Untergang;53;7
Beispiel;52;5
Budget;52;0
Börsenverein;52;0
Immunsystem;52;0
Impressum;52;0
Mitglied;52;10
Verkäufer;52;0
Archiv;51;5
Desktop;51;0
Gesicht;51;21
Kalender;51;0
Klassiker;51;0
Bundesparteitag;50;31
Copyright;50;0
Entwurf;50;21
Router;50;0
Spektrum;50;0
Vergleich;50;14
Ausdruck;49;9
Bundesinnenministerium;49;0
Comic;49;0
Newsletter;49;0
Sachverhalt;49;36
Spot;49;0
Standard;49;0
Trainer;49;0
Verkauf;49;3
Vorgang;49;15
Werden;49;0
Hören;48;0
Klub;48;0
Mandat;48;3
Mitgefühl;48;2
Projektleiter;48;0
Staat;48;1585
Studierendenparlament;48;8
Symposium;48;0
Völkerrecht;48;2
Anteil;47;0
Atommüll;47;0
Gegenstand;47;44
Gutachten;47;0
Justizministerium;47;0
Kontinent;47;38
Menü;47;0
Mobiltelefon;47;1
Strafrecht;47;8
Streit;47;8
Versuch;47;33
Besucher;46;0
Bistum;46;0
Club;46;0
Gedicht;46;45
Gewissen;46;0
Hafen;46;0
Hirn;46;2
Kläger;46;0
Schaffen;46;0
Zeitraum;46;12
Backup;45;0
Format;45;8
Öl;45;5
Adventskalender;44;0
Atomkraftwerk;44;14
Beruf;44;58
Flugzeug;44;19
Manifest;44;8
Nachmittag;44;4
Notebook;44;0
Skript;44;13
Tempel;44;0
Umzug;44;17
Veranstalter;44;0
Ausbau;43;0
Aussehen;43;0
Austausch;43;47
Baby;43;0
Existenzminimum;43;0
Industriezeitalter;43;0
Monitor;43;0
Schaden;43;0
Statement;43;0
Tag;43;3401
Text;43;970
Verbrauch;43;5
Weg;43;303
Fernseher;42;0
Gebiet;42;87
Gremium;42;0
Grundstück;42;13
Pharmakonzern;42;0
Souverän;42;0
Areal;41;0
Bedarf;41;7
Eigentümer;41;0
Engel;41;0
Erfinder;41;0
Erinnern;41;0
Gewinnspiel;41;7
Radio;41;0
Stream;41;0
Streik;41;3
Turnier;41;1
Unternehmer;41;0
Verstehen;41;0
Wahlrecht;41;10
Westbau;41;0
Blogbeitrag;40;13
Dom;40;26
Gemeinwohl;40;0
Herrscher;40;0
Investor;40;0
Kritiker;40;0
Reisen;40;0
Schlüssel;40;0
Sterben;40;0
Träger;40;0
Versagen;40;0
Widerspruch;40;3
Ökosystem;40;0
Cover;39;0
Formular;39;5
Ich;39;0
Rauchen;39;0
Schulsystem;39;0
Stern;39;5
Unglück;39;1
Wirken;39;0
Wohnzimmer;39;0
Zweifel;39;0
Amtsgericht;38;11
Auftraggeber;38;0
Auftrag;38;25
Bug;38;0
Fahrer;38;0
Feedback;38;0
Hörer;38;0
Jahrtausend;38;0
Kommentator;38;0
Mehl;38;2
Musiker;38;0
Nachdenken;38;0
Redakteur;38;0
Schauspieler;38;0
Schiedsrichter;38;0
Tagebuch;38;5
Treiber;38;0
Umbruch;38;1
Vogel;38;0
Wahlprogramm;38;5
Wähler;38;0
Adel;37;0
Datum;37;0
Download;37;0
Großteil;37;0
Hügel;37;0
Imperium;37;0
Kunstwerk;37;33
Pseudonym;37;0
Ranking;37;0
Respekt;37;14
Stier;37;3
Telefonat;37;13
Vertreter;37;0
Bürgertum;36;0
Euro;36;0
Fragebogen;36;0
Instrument;36;13
Irrsinn;36;0
Miteinander;36;0
Orchester;36;0
Ozean;36;0
Plakat;36;17
Priester;36;0
Referat;36;18
Ruhrgebiet;36;4
Schiff;36;128
Stadion;36;0
Sturm;36;15
Turm;36;45
Umfang;36;2
Verlust;36;37
Vorwurf;36;9
Zaun;36;15
Übel;36;0
Bundesamt;35;58
Chip;35;0
Geschäftsmodell;35;0
Horizont;35;14
Kanzler;35;0
Lehrstuhl;35;2
Mörder;35;0
Oberbürgermeister;35;0
Post;35;0
Profit;35;3
Teig;35;112
Zorn;35;8
Abschied;34;6
Alphabet;34;8
Anspruch;34;8
Blogeintrag;34;12
Diebstahl;34;1
Druck;34;9
Elend;34;0
Fan;34;0
Finger;34;0
Gastgeber;34;0
Herausgeber;34;0
Menschsein;34;0
Moratorium;34;0
RSS-Feed;34;0
Rat;34;271
Umfeld;34;39
Vormittag;34;4
Boykott;33;0
Bundesverwaltungsgericht;33;6
Gegenteil;33;0
Gesetzentwurf;33;11
Lokal;33;6
Parteiprogramm;33;4
Quartier;33;0
Religionsunterricht;33;4
Schädel;33;0
Speicher;33;0
Spektakel;33;0
Steuerzahler;33;0
Stick;33;0
Umbau;33;1
Wirtschaften;33;0
Wirtschaftssystem;33;0
All;32;0
Arbeitnehmer;32;0
Aufsichtsrat;32;20
Becken;32;0
Buchhandel;32;0
Bundesinnenminister;32;0
Chat;32;0
Dateisystem;32;0
Händler;32;0
Krieg;32;574
Mantel;32;0
Misstrauen;32;0
Projektmanager;32;0
Satan;32;0
Trojaner;32;0
Verteidigungsminister;32;0
Weltall;32;0
Argument;31;10
Café;31;0
Deal;31;0
Exil;31;0
Fahrrad;31;17
Kabel;31;0
Kyoto-Protokoll;31;3
Maler;31;0
Marktforschungsinstitut;31;1
Monopol;31;0
Muster;31;0
Panel;31;0
Passwort;31;31
Schreiber;31;0
Termin;31;3
Vermieter;31;0
Vorschlag;31;15
Wert;31;61
Wort;31;1062
Zugriff;31;1
Zusammenhang;31;4
Arbeiter;30;0
Atlantik;30;0
Fehlen;30;0
Finanzsystem;30;0
Geschäftsführer;30;0
Gesundheitssystem;30;0
Gründer;30;0
Kumpel;30;0
Mobilfunkanbieter;30;0
Motto;30;0
Nutzen;30;0
Portfolio;30;0
Ring;30;8
Stadtbezirksrat;30;2
Standort;30;39
Stil;30;3
Tipp;30;0
Weltfrieden;30;0
Amerikaner;29;0
Anliegen;29;0
Arbeitsspeicher;29;0
Attentat;29;9
Beobachter;29;0
Dreieck;29;3
Flyer;29;0
Jobcenter;29;0
Kochen;29;0
Leiter;29;0
Lexikon;29;0
Mittel;29;0
Patent;29;5
Privateigentum;29;0
Rechteinhaber;29;0
Schleier;29;0
Sprechen;29;0
Städtchen;29;0
T-Shirt;29;0
Teilnehmer;29;0
Umstand;29;52
Volk;29;879
Wohnen;29;0
BVerfG-Urteil;28;0
Bundeskanzler;28;0
Erscheinen;28;0
Essay;28;0
Europarat;28;25
Gehalt;28;21
Geldsystem;28;0
Gipfel;28;0
Hauptspiel;28;0
Jubiläum;28;0
Kindergarten;28;0
Konzentrationslager;28;0
Können;28;0
Layout;28;0
Level;28;0
Meeresspiegel;28;0
Mehrwert;28;2
Nahostkonflikt;28;1
Netbook;28;0
Neubau;28;0
Rechtsanwalt;28;14
Skorpion;28;0
Thread;28;0
Verfassungsgericht;28;11
Verwaltungsgericht;28;8
Zeichner;28;0
Zufall;28;0
Übersetzer;28;0
Aufbruch;27;1
Controller;27;0
Datenverkehr;27;0
Eingriff;27;6
Einreiseverbot;27;0
Generalsekretär;27;0
Gesprächspartner;27;0
Hoster;27;0
Kühlschrank;27;8
Milieu;27;0
Nachfolger;27;0
Onkel;27;0
Privatleben;27;0
Prozessor;27;0
Rücktritt;27;3
Sehen;27;0
Set;27;0
Shop;27;0
Stöckchen;27;0
Transport;27;15
Verfall;27;0
Webserver;27;0
Ausbruch;26;4
Ausstieg;26;0
Bundesjustizministerium;26;0
Diktator;26;0
Existenzrecht;26;1
Feuilleton;26;0
Förderverein;26;0
Hunger;26;0
Kabinett;26;1
Käufer;26;0
Landesverband;26;83
Max-Planck-Institut;26;0
Meteorstrom;26;0
Nachrichtenmagazin;26;0
Niedriglohnsektor;26;0
Player;26;0
Screening;26;0
Selbstmarketing;26;0
Theaterstück;26;5
Ton;26;8
Welt-Aids-Tag;26;8
Zucker;26;0
Alltagsleben;25;0
Altern;25;0
Beschwerdeführer;25;0
Betrug;25;11
Bildungswesen;25;0
Bürgerkrieg;25;35
Duo;25;0
Einkauf;25;3
Gängeviertel;25;0
Icon;25;0
Kater;25;0
Konto;25;0
Kulturbetrieb;25;6
Lächeln;25;0
Manager;25;0
Massaker;25;0
Musikvideo;25;0
Niedergang;25;2
Ofen;25;0
Partnerprogramm;25;0
Rennen;25;0
Report;25;1
Rezept;25;69
Screenshot;25;0
Staatsvertrag;25;13
Streifen;25;0
Wohlstand;25;26
Auftreten;24;0
Beginn;24;0
Bürgerwillen;24;0
Editor;24;0
Entstehen;24;0
Forscher;24;0
Frühjahr;24;1
General;24;0
Historiker;24;0
Inhaber;24;0
Keller;24;0
Lebensraum;24;24
Lebensstil;24;0
Mindestlohn;24;14
Musikstück;24;8
Regenbogen;24;0
Rollenspiel;24;0
Rundfunk;24;0
Start;24;2
Stromverbrauch;24;5
Traum;24;34
Tumor;24;0
Verleger;24;0
Versprechen;24;0
Vulkan;24;0
Weltraum;24;2
Zeitalter;24;0
Zuhörer;24;0
Abenteuer;23;0
Appell;23;0
Ausgleich;23;1
Award;23;0
Bildungsstreik;23;1
Bundeskartellamt;23;19
Energieverbrauch;23;5
Erkennen;23;0
Finanzminister;23;0
Klinikum;23;0
Orient;23;0
Review;23;0
Saal;23;18
Salzstock;23;6
Symbol;23;3
Trend;23;0
Trio;23;0
Unterfangen;23;0
Winterhimmel;23;0
Wintersemester;23;0
ACTA-Abkommen;22;0
Abo;22;0
Adler;22;0
Anfang;22;1
Anstand;22;8
Apostel;22;0
Arbeiten;22;0
Atomausstieg;22;2
Aufstand;22;37
Block;22;3
Bundesgesundheitsministerium;22;0
Bundeskriminalamt;22;14
Chefredakteur;22;0
Debütalbum;22;0
Drachen;22;0
E-Book;22;0
Futter;22;0
Gebrauch;22;2
Gewicht;22;6
Himmelsjäger;22;0
Intellekt;22;7
Katalog;22;8
Koalitionsvertrag;22;30
Kollegium;22;0
Kunstverein;22;0
Lehrplan;22;4
Literaturblog;22;0
Lärm;22;2
Nazi;22;0
Nervensystem;22;0
Netzbetreiber;22;0
Pfarrer;22;0
Programmierer;22;0
Ritual;22;0
Rückzug;22;6
Schmetterling;22;0
Stein;22;15
Suchen;22;0
Touchscreen;22;0
US-Militär;22;0
Webbrowser;22;0
Wechsel;22;0
Zustand;22;67
Abschnitt;21;11
Angreifer;21;0
Aufwand;21;8
Außenminister;21;0
Begehren;21;0
Bergwerk;21;2
Bewerber;21;0
Blick;21;49
Clan;21;0
Drama;21;0
Drehbuch;21;7
Ehegattensplitting;21;0
Elektron;21;0
Erdbeben;21;0
Forschungsprojekt;21;37
Frühmittelalter;21;0
Gaza-Streifen;21;0
Gerichtsverfahren;21;0
Geschäftsbereich;21;6
Gewinner;21;0
Handwerk;21;1
Informationszeitalter;21;0
Italiener;21;0
Journal;21;0
Kindeswohl;21;0
Klimagipfel;21;0
Kondom;21;3
Kuratorium;21;0
Mantra;21;0
Mob;21;0
Quartiersmanagement;21;0
Raumschiff;21;11
Sitzenbleiben;21;0
Ticket;21;0
Ufer;21;0
Unterschied;21;5
Wirtschaftswachstum;21;0
Wissensmanagement;21;0
Abgrund;20;5
Abitur;20;0
Amokläufer;20;0
Anruf;20;7
Anschlag;20;6
Beitritt;20;4
Betriebsrat;20;13
Blickwinkel;20;0
Börsengang;20;2
Dienstleister;20;0
Direktor;20;0
Ehemann;20;16
Fuhrmann;20;0
Gerichtshof;20;10
Heil;20;1
Irrtum;20;0
Item;20;0
Jäger;20;0
Kartellrecht;20;0
Kartell;20;0
Kultusministerium;20;0
Labor;20;0
Lehrbuch;20;9
Markt;20;440
Mauerfall;20;2
Müll;20;0
Schulalltag;20;0
Script;20;0
Soundtrack;20;0
Spender;20;0
Studio;20;0
Umschlag;20;4
Vormonat;20;0
Vornamen;20;0
Wattenmeer;20;7
Wecker;20;0
Zuhören;20;0
Zusammenbruch;20;2
Alkohol;19;0
Appeasement;19;0
Avatar;19;0
Bebauungsplan;19;17
Bedauern;19;0
Bestseller;19;0
Brunnen;19;0
Bundesumweltministerium;19;0
Datenträger;19;0
Deckel;19;0
Deutschlandfunk;19;0
Dilemma;19;0
Doktor;19;0
EG-Vertrag;19;2
Energiekonzern;19;0
Erdball;19;2
Establishment;19;0
Finanzsektor;19;0
Funkkolleg;19;0
Goethe-Institut;19;4
Heft;19;85
Humor;19;0
Kaiserreich;19;10
Kaliber;19;0
Karneval;19;0
Kauf;19;19
Lehren;19;0
Lohn;19;21
Lotos-Sutra;19;0
Massenmörder;19;0
Motiv;19;3
Nerd;19;0
Nichtwissen;19;0
Orden;19;0
Poststempel;19;0
Premierminister;19;0
Radiosender;19;0
Rechtsstreit;19;4
Sauerteig;19;4
Spaziergang;19;3
Stipendium;19;0
Szenario;19;0
Verteidigungsministerium;19;0
Volksbegehren;19;0
Weltuntergang;19;0
Wiederaufbau;19;0
Wollen;19;0
Würfel;19;0
Zweck;19;3
Abendessen;18;0
Apfel;18;0
Ausschnitt;18;8
Baum;18;101
Bundesarbeitsgericht;18;2
Bundeswirtschaftsministerium;18;0
DJ;18;0
Dudenverlag;18;0
Einzelfall;18;3
Einzelhandel;18;0
Erwerb;18;0
Export;18;0
Fahren;18;0
Fenstermanager;18;0
Gehen;18;0
Gesundheitsministerium;18;0
Handelsblatt;18;10
Hauptstudium;18;0
Internetzugang;18;2
Kapitän;18;0
Koch;18;8
Krimi;18;0
Landesvorstand;18;6
Leid;18;18
Mietrecht;18;2
Märchen;18;0
Niveau;18;0
Organ;18;3
Paper;18;0
Politbüro;18;0
Publizieren;18;0
Pöbel;18;0
Rauchverbot;18;5
Regierungschef;18;0
Schlaf;18;28
Schlafzimmer;18;0
Screen;18;0
Sonntag;18;3
Sozialsystem;18;0
Spielfeld;18;12
Strafverfahren;18;0
US-Einreiseverbot;18;0
Unwissen;18;0
Vergehen;18;0
Wirkstoff;18;10
Wunder;18;0
X-Server;18;0
Acker;17;0
Allgemeinwohl;17;0
Arbeitsleben;17;0
Backen;17;0
Balkon;17;0
Banner;17;0
Berliner;17;0
Bezirksbürgermeister;17;0
Bogen;17;0
Bürgerentscheid;17;10
Canyon;17;0
Datenschutzrecht;17;2
Dokumentarfilm;17;10
Drucker;17;0
Einhorn;17;0
Element;17;5
Energieversorger;17;0
Equipment;17;0
Fernsehsender;17;0
Friedhof;17;7
Führerschein;17;3
Geben;17;0
Gebet;17;18
Geldbeutel;17;0
Grundwasser;17;0
Heilen;17;0
Hotelzimmer;17;0
Hörsaal;17;5
Informationsaustausch;17;17
Info;17;0
Internetportal;17;0
Leitfaden;17;0
Leuchtturm;17;5
Livestream;17;0
Opa;17;0
Parteirat;17;9
Patentrecht;17;0
Plenum;17;0
Presserecht;17;0
RSS-Reader;17;0
Referendum;17;0
Selbstbewusstsein;17;0
Sponsor;17;0
Staatssekretär;17;0
Territorium;17;0
UN-Sicherheitsrat;17;16
Webauftritt;17;2
Wein;17;19
Werkzeug;17;4
Wikipedia-Artikel;17;0
Zölibat;17;0
Üben;17;0
Amoklauf;16;15
Ansehen;16;0
Anstieg;16;2
Asylrecht;16;1
Autofahrer;16;0
Außenministerium;16;0
Berufsleben;16;0
Betrag;16;43
Bildungsministerium;16;0
Board;16;0
Buchstaben;16;0
Bundessozialgericht;16;0
Bäcker;16;0
Designer;16;0
Doktortitel;16;0
Drogenkonsum;16;0
Empfang;16;3
Ersteller;16;0
Etablissement;16;0
Experimentieren;16;0
Filter;16;0
Forschungszentrum;16;0
Freistaat;16;20
Gameplay;16;0
Gärtner;16;0
Hacker;16;0
Herbsthimmel;16;0
Kardinal;16;0
Kennenlernen;16;0
Knoten;16;0
Konzertsaal;16;4
Kurzfilm;16;6
Lachen;16;0
Ladevorgang;16;0
Lebensunterhalt;16;12
Machterhalt;16;0
Moment;16;13
Musical;16;0
Ostblock;16;4
Potential;16;0
Pressesprecher;16;0
Raid;16;0
Rotlichtmilieu;16;0
Setting;16;0
Sound;16;0
Sparen;16;0
Spruch;16;7
Staatswesen;16;0
Stift;16;30
Strombedarf;16;1
Verschwinden;16;0
Wassermann;16;1
Wirtschaftsministerium;16;0
Wirtschaftswunder;16;0
Zeichnen;16;0
Überfall;16;4
Abbau;15;0
Amt;15;186
Anbau;15;1
Auszug;15;3
Backofen;15;0
Bildhauer;15;0
Blogartikel;15;0
Blogbetreiber;15;0
Bruttoinlandsprodukt;15;15
Computerspiel;15;1
Container;15;0
DFB-Pokal;15;0
Darm;15;1
Deutschlandradio;15;0
Durchschnitt;15;0
Ehepaar;15;6
Elternteil;15;0
Erhalt;15;5
Faktor;15;0
Familienleben;15;0
Gebrauchswert;15;7
Genozid;15;0
Gesamtsystem;15;0
Geschichtenerzählen;15;0
Gesetzesentwurf;15;13
Graben;15;0
HIV-Einreiseverbot;15;0
Hightech-Verband;15;14
Holocaustleugner;15;0
Ideal;15;0
Ingenieur;15;0
Inkrafttreten;15;0
Karma;15;0
Killer;15;0
Kleingartenverein;15;0
Koffer;15;0
Kopieren;15;0
Kredit;15;9
Lebensstandard;15;0
Mauszeiger;15;0
Meinungsforschungsinstitut;15;0
Monster;15;0
Oberteil;15;3
Oberverwaltungsgericht;15;2
Paradigmenwechsel;15;0
Pilotprojekt;15;5
Privatfernsehen;15;0
Raubüberfall;15;0
Raucher;15;0
Rechtssystem;15;0
Regieren;15;0
Ressentiment;15;0
Rest;15;13
Roboter;15;0
Schatten;15;0
Schreibstil;15;0
Schwachsinn;15;0
Schwein;15;4
September;15;0
Sinn;15;11
Sommersemester;15;0
Standardwerk;15;1
Steuersystem;15;0
Stoff;15;75
Support;15;1
Tier;15;178
Tiger;15;0
Tonträger;15;0
Urhebervertragsrecht;15;5
Ursprung;15;0
Verfassen;15;0
Volksentscheid;15;16
Werbespot;15;0
Zusammenhalt;15;4
Zusammenspiel;15;0
Zwang;15;7
Ableben;14;0
Altertum;14;0
Attentäter;14;0
Ball;14;18
Bauvorhaben;14;0
Bergbau;14;0
Bildungsbürgertum;14;0
Biotop;14;0
Deutschunterricht;14;1
Drittanbieter;14;0
Dschungel;14;0
Emissionshandel;14;0
Endlager;14;0
Enkel;14;0
FU-Präsidium;14;0
Fachmagazin;14;0
Familienministerium;14;0
Feiertag;14;5
Filmemacher;14;0
Flugblatt;14;10
Fraunhofer-Institut;14;0
Geldverdienen;14;0
Gemeinderat;14;9
Gewaltmonopol;14;0
Gleichgewicht;14;7
Gletscher;14;0
Google-Profil;14;0
Großkonzern;14;0
Hochschulrat;14;8
Hochwasser;14;0
Honorar;14;0
Ich-Erzähler;14;0
Interviewer;14;0
Kader;14;0
Krieger;14;0
Körpergewicht;14;5
Laufen;14;0
Literaturbetrieb;14;5
Maya-Kalender;14;0
Meeting;14;0
Messer;14;0
Mitbewohner;14;0
Mufti;14;0
Multi;14;0
Märtyrer;14;0
Nervenzusammenbruch;14;0
Netzlogbuch;14;0
Objektiv;14;0
Pokal;14;0
Polarstern;14;0
Pool;14;0
Port;14;1
Positionspapier;14;1
Poster;14;0
Profi;14;0
Prof;14;0
Quartal;14;0
Referendariat;14;0
Regelwerk;14;0
Reporter;14;0
Samstag;14;1
Schulunterricht;14;0
Signal;14;0
Sklavenhandel;14;0
Slogan;14;0
Sohn;14;285
Standpunkt;14;20
Straßenverkehr;14;0
Stromanbieter;14;0
Studentenwerk;14;3
Teaser;14;0
Twitter-Account;14;0
Täufer;14;0
Umweltminister;14;0
Vampir;14;1
Vertrieb;14;3
Vorredner;14;0
Völkermord;14;11
Waffenstillstand;14;10
Zertifikat;14;6
Ablauf;13;10
Administrator;13;0
Adressbuch;13;6
Antragsteller;13;0
Anwesen;13;0
Aquarium;13;0
Atomforum;13;0
Auditorium;13;0
Aufruhr;13;0
Bachelor;13;0
Bauwerk;13;11
Begreifen;13;0
Bildmaterial;13;0
Brustkrebsrisiko;13;0
Bundeskabinett;13;0
Bärenhüter;13;0
Dateimanager;13;0
Detail;13;0
Discounter;13;0
Drogenhandel;13;0
EU-Beitritt;13;0
Einzug;13;2
Erzbischof;13;0
Fachgebiet;13;7
Fotografieren;13;0
Fundament;13;3
Fußballspiel;13;3
Führen;13;0
Gepäck;13;3
Geruch;13;3
Gesamtkonzept;13;4
Golfsport;13;0
Handbuch;13;6
Handwerker;13;0
Hobby;13;0
Hubschrauber;13;0
